190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_2:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_3:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_3:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
190610_3:1,B50000,8/1/2019,APOE44,0,4/3/2018,,,,,,,
